time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
7727.583227,0.173674,0,0,4,0,0,6,0,1,5,0.286326,0.460000
5720.294198,0.173674,1,0,5,1,2,2,0,1,5,0.286326,0.460000
7537.483241,0.485480,1,2,4,0,1,5,0,0,3,0.000000,0.460000
5127.092338,0.031250,1,1,3,1,2,9,1,1,5,0.428750,0.460000
6025.430343,0.455000,0,1,3,2,2,9,0,0,10,0.005000,0.460000
6361.871850,0.455000,0,1,2,2,2,10,0,0,10,0.005000,0.460000
6367.104131,0.455000,0,1,2,2,2,8,0,0,10,0.005000,0.460000
7478.191025,0.485480,1,2,3,0,2,7,0,0,1,0.000000,0.460000
4239.651400,0.031250,1,1,2,2,2,8,1,0,10,0.428750,0.460000
7678.656443,0.485480,1,2,1,0,0,5,0,0,0,0.000000,0.460000
8127.622058,0.484091,2,0,1,2,0,7,0,0,3,0.000000,0.460000
6406.717741,0.455000,0,1,2,2,2,9,0,0,8,0.005000,0.460000
5871.853811,0.075000,1,0,1,1,0,7,1,0,7,0.385000,0.460000
5905.334712,0.455000,2,1,2,2,2,9,0,0,10,0.005000,0.460000
4471.717197,0.225000,2,1,5,2,2,1,1,0,6,0.235000,0.460000
5882.720797,0.455000,0,1,2,2,2,10,0,0,9,0.005000,0.460000
7912.568299,0.444091,1,1,1,1,0,3,0,0,8,0.015909,0.460000
6821.094129,0.455000,0,1,2,2,2,9,0,0,9,0.005000,0.460000
5531.129992,0.031250,1,0,5,2,0,4,0,1,1,0.428750,0.460000
7872.009801,0.444091,1,1,2,0,2,9,0,0,10,0.015909,0.460000
5843.422281,0.455000,0,1,1,2,2,8,0,0,10,0.005000,0.460000
6546.658913,0.455000,0,1,2,2,2,8,0,0,8,0.005000,0.460000
6235.801570,0.455000,0,1,1,2,2,8,0,0,9,0.005000,0.460000
6034.283028,0.481389,0,2,1,2,2,8,0,0,10,0.000000,0.460000
7165.473353,0.455000,0,1,1,2,2,7,0,0,10,0.005000,0.460000
6337.419996,0.455000,0,1,1,2,2,10,0,0,10,0.005000,0.460000
6744.790230,0.455000,0,1,1,2,1,8,0,0,10,0.005000,0.460000
7678.535131,0.444091,0,1,1,1,2,8,0,0,10,0.015909,0.460000
7401.229959,0.455000,0,1,1,2,2,9,0,0,10,0.005000,0.460000
7819.461812,0.444091,1,1,2,1,1,5,0,0,7,0.015909,0.460000
7931.738122,0.235480,2,2,2,1,1,6,0,1,5,0.224520,0.460000
7366.857203,0.455000,0,1,1,2,2,8,0,0,5,0.005000,0.460000
7850.297404,0.444091,0,1,4,1,2,8,0,0,4,0.015909,0.460000
7149.021871,0.455000,0,1,1,2,2,9,0,0,9,0.005000,0.460000
6736.442359,0.326667,0,0,2,1,0,5,1,0,5,0.133333,0.460000
5347.051239,0.030556,2,2,4,1,2,7,1,1,7,0.429444,0.460000
8499.909856,0.444091,0,1,1,0,1,6,0,1,9,0.015909,0.460000
7260.442519,0.090341,1,1,2,0,0,6,0,1,4,0.369659,0.460000
7655.257602,0.444091,0,1,1,0,1,6,0,1,8,0.015909,0.460000
8966.581653,0.444091,0,1,1,0,1,5,0,1,8,0.015909,0.460000
8159.092663,0.275341,2,0,4,0,0,5,0,1,6,0.184659,0.460000
8735.919503,0.444091,1,1,4,0,1,6,0,1,8,0.015909,0.460000
7385.894117,0.400341,0,1,1,0,1,5,0,1,7,0.059659,0.460000
8785.993786,0.444091,0,1,1,0,1,4,0,1,8,0.015909,0.460000
7922.645002,0.275341,1,0,1,0,1,3,0,1,6,0.184659,0.460000
7831.512716,0.400341,0,1,1,1,1,5,0,1,7,0.059659,0.460000
7231.092868,0.400341,0,1,1,1,0,5,0,1,7,0.059659,0.460000
7101.557466,0.090341,0,1,1,1,0,5,0,1,4,0.369659,0.460000
7152.884279,0.173674,0,1,2,1,0,5,0,1,5,0.286326,0.460000
7768.918728,0.444091,0,1,1,1,0,5,0,1,8,0.015909,0.460000
7633.621154,0.400341,0,1,1,1,0,4,0,1,7,0.059659,0.460000
8159.344245,0.484289,0,2,2,0,2,10,0,0,7,0.000000,0.460000
7291.801088,0.250341,0,1,1,1,0,5,0,1,6,0.209659,0.460000
7626.805848,0.400341,0,1,1,1,0,3,0,1,7,0.059659,0.460000
6141.402770,0.440000,1,1,4,1,2,6,0,0,0,0.020000,0.460000
4409.386785,0.031250,1,1,4,1,2,3,1,0,9,0.428750,0.460000
5365.107151,0.031250,2,1,1,0,2,4,1,1,6,0.428750,0.460000
6289.543928,0.480198,2,2,5,2,1,9,0,0,9,0.000000,0.460000
6098.149769,0.480000,1,0,3,2,2,3,0,0,8,0.000000,0.460000
5824.198216,0.385000,2,1,4,2,1,2,1,0,4,0.075000,0.460000
7291.910436,0.469091,0,0,1,0,2,1,0,0,10,0.000000,0.460000
6684.029061,0.031250,0,0,5,0,0,6,1,1,9,0.428750,0.460000
