time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0
6212.438618,0.031250,,,,,,,,,,1,1,0,1,1,0,0,0,0
7316.408490,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
6247.233994,0.480000,,,,,,,,,,0,0,0,0,0,0,2,2,0
5987.994170,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
8025.660404,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
3835.046524,0.055556,,,,,,,,,,1,1,0,2,2,0,2,2,0
5884.813945,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
6152.697739,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
6260.504727,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
7151.255551,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
4122.842646,0.031250,,,,,,,,,,1,1,0,1,1,0,2,2,0
6782.385655,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
8451.913085,0.444091,,,,,,,,,,0,0,0,1,1,0,1,1,0
6487.615903,0.031250,,,,,,,,,,1,1,0,0,0,0,1,1,0
4782.793113,0.005556,,,,,,,,,,1,1,0,2,2,0,1,1,0
5203.837360,0.031250,,,,,,,,,,1,1,0,0,0,0,1,1,0
6760.447342,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
6652.076228,0.031250,,,,,,,,,,1,1,0,0,0,0,0,0,0
6463.498162,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
5251.722982,0.031250,,,,,,,,,,1,1,0,1,1,0,1,1,0
6573.639087,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
6878.436487,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
7383.767343,0.472980,,,,,,,,,,0,0,0,0,0,0,1,1,0
6097.617968,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
7291.795975,0.031250,,,,,,,,,,1,1,0,0,0,0,0,0,0
4004.148149,0.031250,,,,,,,,,,1,1,0,1,1,0,2,2,0
6788.062655,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
3939.848364,0.055556,,,,,,,,,,1,1,0,2,2,0,2,2,0
6467.339489,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
7243.627401,0.031250,,,,,,,,,,1,1,0,1,1,0,0,0,0
7598.625385,0.458889,,,,,,,,,,0,0,0,1,1,0,2,2,0
6206.343267,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
7788.564677,0.483889,,,,,,,,,,0,0,0,0,0,0,2,2,0
6369.216951,0.005556,,,,,,,,,,1,1,0,2,2,0,0,0,0
5135.462411,0.031250,,,,,,,,,,1,1,0,0,0,0,1,1,0
6179.499456,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
7684.124949,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
6448.302959,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
7200.194279,0.031250,,,,,,,,,,1,1,0,1,1,0,0,0,0
5411.824561,0.031250,,,,,,,,,,1,1,0,0,0,0,1,1,0
6541.102792,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
6605.521644,0.472980,,,,,,,,,,0,0,0,0,0,0,1,1,0
6842.002143,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
6903.237830,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
7441.094759,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
5721.415343,0.031250,,,,,,,,,,1,1,0,0,0,0,1,1,0
6600.478980,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
6816.013264,0.472980,,,,,,,,,,0,0,0,0,0,0,1,1,0
6837.897765,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
6605.950856,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
6709.912542,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
6634.531308,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
7224.579758,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
6896.047659,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
7430.216130,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
6851.140863,0.472980,,,,,,,,,,0,0,0,0,0,0,1,1,0
6478.130329,0.031250,,,,,,,,,,1,1,0,1,1,0,0,0,0
6764.240206,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
7625.247760,0.480000,,,,,,,,,,0,0,0,0,0,0,2,2,0
6334.712547,0.031250,,,,,,,,,,1,1,0,0,0,0,1,1,0
6088.102016,0.480000,,,,,,,,,,0,0,0,0,0,0,2,2,0
6198.327370,0.480000,,,,,,,,,,0,0,0,0,0,0,2,2,0
5922.664742,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
5738.688877,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
5856.481910,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
5336.987264,0.031250,,,,,,,,,,1,1,0,1,1,0,1,1,0
6307.663940,0.005556,,,,,,,,,,1,1,0,2,2,0,0,0,0
6352.490480,0.005556,,,,,,,,,,1,1,0,2,2,0,0,0,0
6060.713271,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
5731.175053,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
5942.557861,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
5868.443583,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
5855.576694,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
6117.874480,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
6745.448284,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
8166.346905,0.484289,,,,,,,,,,0,0,0,2,2,0,1,1,0
6170.610339,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
6436.183563,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
5941.498229,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
6969.572598,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
6790.729859,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
9215.712823,0.484289,,,,,,,,,,0,0,0,2,2,0,0,0,0
8350.192045,0.469091,,,,,,,,,,0,0,0,0,0,0,0,0,0
6041.915576,0.031250,,,,,,,,,,1,1,0,1,1,0,1,1,0
8378.195066,0.469091,,,,,,,,,,0,0,0,0,0,0,0,0,0
5974.588453,0.005556,,,,,,,,,,1,1,0,2,2,0,0,0,0
7006.057573,0.031250,,,,,,,,,,1,1,0,0,0,0,0,0,0
8294.073376,0.469091,,,,,,,,,,0,0,0,0,0,0,0,0,0
8226.524557,0.469091,,,,,,,,,,0,0,0,0,0,0,0,0,0
7774.908541,0.484289,,,,,,,,,,0,0,0,2,2,0,0,0,0
7987.655051,0.484289,,,,,,,,,,0,0,0,2,2,0,0,0,0
6026.476631,0.005556,,,,,,,,,,1,1,0,2,2,0,0,0,0
7908.142877,0.484289,,,,,,,,,,0,0,0,2,2,0,0,0,0
3974.462601,0.055556,,,,,,,,,,1,1,0,2,2,0,2,2,0
4870.518608,0.005556,,,,,,,,,,1,1,0,2,2,0,1,1,0
6768.333041,0.484289,,,,,,,,,,0,0,0,2,2,0,1,1,0
7046.050227,0.444091,,,,,,,,,,0,0,0,1,1,0,1,1,0
7639.095389,0.469091,,,,,,,,,,0,0,0,0,0,0,1,1,0
7924.700889,0.484289,,,,,,,,,,0,0,0,2,2,0,0,0,0
6818.776773,0.444091,,,,,,,,,,0,0,0,1,1,0,1,1,0
8136.001055,0.444091,,,,,,,,,,0,0,0,1,1,0,0,0,0
6854.005686,0.484289,,,,,,,,,,0,0,0,2,2,0,1,1,0
6593.748667,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
