time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0
5418.586048,0.480000,,,,,,,,,,0,1,9,0,0,2,2,0,10
5485.315628,0.481389,,,,,,,,,,0,1,8,0,2,2,2,0,10
5502.224090,0.480000,,,,,,,,,,0,1,8,0,0,2,2,1,10
5887.790313,0.469091,,,,,,,,,,0,1,8,0,0,2,1,2,10
5448.683364,0.480000,,,,,,,,,,0,1,8,0,0,3,2,0,10
6794.495744,0.480000,,,,,,,,,,0,1,8,2,0,2,2,1,10
5481.330689,0.480000,,,,,,,,,,0,1,8,0,0,2,2,0,9
3758.934012,0.056250,,,,,,,,,,1,1,8,0,0,3,2,0,10
7756.736510,0.469091,,,,,,,,,,0,1,8,0,0,2,0,0,6
5421.932444,0.480000,,,,,,,,,,0,1,8,0,0,1,2,0,10
5203.711791,0.480000,,,,,,,,,,0,1,8,2,0,2,2,2,10
7537.764865,0.469091,,,,,,,,,,0,1,8,2,0,2,0,2,10
3434.730466,0.056250,,,,,,,,,,1,1,8,2,0,2,2,2,10
3594.252173,0.056250,,,,,,,,,,1,0,8,2,0,2,2,2,10
3695.675523,0.055556,,,,,,,,,,1,1,8,2,2,2,2,2,10
4007.687692,0.030556,,,,,,,,,,1,1,2,0,2,2,2,0,7
7000.791253,0.460480,,,,,,,,,,1,0,2,0,2,2,2,0,1
4493.553997,0.005556,,,,,,,,,,1,1,5,2,2,2,0,1,9
5949.401633,0.435480,,,,,,,,,,1,0,3,0,2,2,2,0,1
6070.822294,0.485480,,,,,,,,,,1,0,2,0,2,2,1,0,1
4953.139812,0.031250,,,,,,,,,,1,1,0,1,1,3,0,0,5
4260.725406,0.456389,,,,,,,,,,1,0,3,0,2,4,2,2,1
4275.696651,0.456389,,,,,,,,,,1,0,3,1,2,4,2,2,1
4518.629364,0.481389,,,,,,,,,,0,0,6,1,2,4,2,2,1
4639.071211,0.455000,,,,,,,,,,1,0,0,2,1,5,2,1,10
4260.155560,0.456389,,,,,,,,,,1,0,3,0,2,5,2,2,1
4759.544437,0.435480,,,,,,,,,,1,0,3,0,2,5,2,1,1
4264.312307,0.456389,,,,,,,,,,1,0,3,0,2,5,2,2,2
4757.066892,0.480000,,,,,,,,,,0,0,3,0,0,5,2,2,1
4318.456362,0.481389,,,,,,,,,,1,0,2,0,2,5,2,2,1
4583.689290,0.455000,,,,,,,,,,1,0,3,0,0,5,2,2,1
6668.784795,0.469091,,,,,,,,,,0,0,6,1,0,3,2,0,1
3806.226732,0.376389,,,,,,,,,,1,0,4,0,2,5,2,2,1
4270.190594,0.456389,,,,,,,,,,1,0,3,0,2,4,2,2,4
3481.867531,0.255556,,,,,,,,,,1,0,5,1,2,5,2,2,1
4453.525218,0.460480,,,,,,,,,,1,0,3,0,2,5,0,2,1
3795.468599,0.376389,,,,,,,,,,1,0,4,0,2,5,2,2,3
5194.285816,0.031250,,,,,,,,,,1,1,9,2,0,5,0,0,9
4463.680786,0.419091,,,,,,,,,,1,0,3,0,1,5,1,2,1
4314.510781,0.460480,,,,,,,,,,1,0,3,0,2,5,1,2,1
4536.057238,0.031250,,,,,,,,,,1,0,8,0,0,2,1,1,5
3932.244693,0.056250,,,,,,,,,,1,1,3,1,0,2,2,0,9
3359.585811,0.056250,,,,,,,,,,1,1,3,1,0,2,2,0,8
5616.652362,0.436944,,,,,,,,,,0,1,7,2,2,5,2,1,5
4872.226440,0.481389,,,,,,,,,,0,1,8,0,2,1,2,1,3
4876.192143,0.481389,,,,,,,,,,0,1,10,0,2,1,2,1,3
6087.958220,0.469091,,,,,,,,,,1,0,0,0,0,1,1,0,5
4727.316207,0.031250,,,,,,,,,,1,0,9,2,0,3,0,2,8
5826.500528,0.481389,,,,,,,,,,0,1,8,0,2,1,2,0,3
4359.264686,0.436944,,,,,,,,,,0,1,7,0,2,1,2,1,10
3489.509337,0.031250,,,,,,,,,,1,1,9,0,1,5,1,1,10
5232.292297,0.469091,,,,,,,,,,0,1,9,0,0,4,2,1,2
3278.192810,0.031250,,,,,,,,,,1,1,5,0,0,3,2,1,5
4500.773159,0.481389,,,,,,,,,,0,1,9,0,2,1,2,1,10
2913.909179,0.055556,,,,,,,,,,0,1,2,0,2,1,2,1,10
5349.532232,0.460480,,,,,,,,,,1,0,3,0,2,1,0,1,4
6238.082471,0.444091,,,,,,,,,,0,0,5,2,1,3,2,0,2
5074.436337,0.400341,,,,,,,,,,0,1,7,0,1,1,1,1,10
4625.141806,0.436250,,,,,,,,,,0,1,7,0,0,1,2,1,10
5054.464347,0.485480,,,,,,,,,,0,0,6,0,2,4,1,1,4
4301.480327,0.311944,,,,,,,,,,0,1,6,1,2,5,2,1,6
5226.083674,0.469091,,,,,,,,,,0,0,1,0,0,3,2,1,2
3843.500935,0.281389,,,,,,,,,,0,1,5,0,2,1,2,1,10
4724.564850,0.419087,,,,,,,,,,0,1,7,0,2,1,2,1,3
6648.762552,0.444091,,,,,,,,,,0,1,9,1,1,5,0,0,7
2925.479619,0.031250,,,,,,,,,,1,1,1,2,1,5,1,2,1
33880.548257,0.412778,0,0,0,0,0,0,2,2,0,0,0,0,,,,,,
